a,b,c,d,e,used_symbol,ltp,pe,market_cap,status
AJMERA REALTY &amp; INFRA INDIA LTD.,AJMERA,AJMERA,Construction,https://halalstock.in/is-ajmera-realty-infra-india-ltd-halal-and-shariah-compliant/,AJMERA.NS,1020.1,30.959028,40150245376,ok
AKI INDIA LTD,AKI,AKI,Leather / Leather Products,https://halalstock.in/is-aki-india-ltd-halal-and-shariah-compliant/,AKI.NS,7.54,39.68421,785860672,ok
AKSHAR SPINTEX LTD,AKSHAR,AKSHAR,Textiles - Cotton/Blended,https://halalstock.in/is-akshar-spintex-ltd-halal-and-shariah-compliant/,AKSHAR.NS,0.55,,433107680,ok
Akums Drugs and Pharmaceuticals Limited,AKUMS,AKUMS,Pharmaceuticals,https://halalstock.in/is-akums-drugs-and-pharmaceuticals-limited-halal-and-shariah-compliant/,AKUMS.NS,425.95,20.448872,65295069184,ok
AKZO NOBEL INDIA LIMITED,AKZOINDIA,AKZOINDIA,Paints / Varnishes,https://halalstock.in/is-akzo-nobel-india-limited-halal-and-shariah-compliant/,AKZOINDIA.NS,3310.8,7.575681,150774874112,ok
Alchemist Corporation Ltd,ALCHCORP,,Commodity Chemicals,https://halalstock.in/is-alchemist-corporation-ltd-halal-and-shariah-compliant/,ALCHCORP.BO,25.05,,123104040,ok
ALEMBIC LTD.,ALEMBICLTD,ALEMBICLTD,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alembic-ltd-halal-and-shariah-compliant/,ALEMBICLTD.NS,100.04,7.9333863,25688453120,ok
ALEMBIC PHARMACEUTICALS LTD.,APLLTD,APLLTD,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alembic-pharmaceuticals-ltd-halal-and-shariah-compliant/,APLLTD.NS,907.2,28.086689,178322063360,ok
Alexander Stamps And Coin Ltd,ALEXANDER,,Diversified.,https://halalstock.in/is-alexander-stamps-and-coin-ltd-halal-and-shariah-compliant/,ALEXANDER.BO,10.19,,94889280,ok
ALFA TRANSFORMERS LTD.,ALFATRAN,,Electric Equipment,https://halalstock.in/is-alfa-transformers-ltd-halal-and-shariah-compliant/,ALFATRAN.BO,42.45,,388444928,ok
ALICON CASTALLOY LIMITED,ALICON,ALICON,Auto Ancillaries,https://halalstock.in/is-alicon-castalloy-limited-halal-and-shariah-compliant/,ALICON.NS,894.5,44.042343,14613303296,ok
ALKALI METALS LTD.,ALKALI,ALKALI,Chemicals,https://halalstock.in/is-alkali-metals-ltd-halal-and-shariah-compliant/,ALKALI.NS,82.63,,845724480,ok
ALKEM LABORATORIES LTD,ALKEM,ALKEM,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-alkem-laboratories-ltd-halal-and-shariah-compliant/,ALKEM.NS,5685.0,28.81837,679727005696,ok
Alkosign Ltd,ALKOSIGN,,Stationary,https://halalstock.in/is-alkosign-ltd-halal-and-shariah-compliant/,ALKOSIGN.BO,75.08,86.29885,810300672,ok
ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,ALKYLAMINE,Chemicals,https://halalstock.in/is-alkyl-amines-chemicals-ltd-halal-and-shariah-compliant/,ALKYLAMINE.NS,1680.5,47.16531,85947449344,ok
All Time Plastics Ltd,ALLTIME,ALLTIME,Houseware,https://halalstock.in/is-all-time-plastics-ltd-halal-and-shariah-compliant/,ALLTIME.NS,275.0,46.689304,18014638080,ok
Allcargo Gati,ACLGATI,ACLGATI,Couriers,https://halalstock.in/is-allcargo-gati-halal-and-shariah-compliant/,ACLGATI.NS,66.5,58.333336,9803060224,ok
ALLCARGO LOGISTICS LTD.,ALLCARGO,ALLCARGO,Miscellaneous,https://halalstock.in/is-allcargo-logistics-ltd-halal-and-shariah-compliant/,ALLCARGO.NS,12.96,64.799995,12740864000,ok
Allcargo Termi,ATL,ATL,Miscellaneous,https://halalstock.in/is-allcargo-termi-halal-and-shariah-compliant/,ATL.NS,27.6,24.210527,7421556224,ok
ALLDIGI TECHNOLOGIES LTD.,ALLDIGI,ALLDIGI,Computers - Software - Medium / Small,https://halalstock.in/is-alldigi-technologies-ltd-halal-and-shariah-compliant/,ALLDIGI.NS,847.85,18.016361,12919814144,ok
ALLIED DIGITAL SERVICES LTD.,ADSL,ADSL,Computers - Software - Medium / Small,https://halalstock.in/is-allied-digital-services-ltd-halal-and-shariah-compliant/,ADSL.NS,160.3,25.244095,9059215360,ok
ALPA LABORATORIES LTD.,ALPA,ALPA,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-alpa-laboratories-ltd-halal-and-shariah-compliant/,ALPA.NS,78.16,8.831638,1645648512,ok
ALPHALOGIC TECH.,ALPHALOGIC,,Computers - Software - Medium / Small,https://halalstock.in/is-alphalogic-tech-halal-and-shariah-compliant/,ALPHALOGIC.BO,64.28,75.62353,4024650752,ok
ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,ALPINEHOU,,Construction,https://halalstock.in/is-alpine-housing-development-corporation-ltd-halal-and-shariah-compliant/,ALPINEHOU.BO,126.15,41.360657,2185157376,ok
ALUFLUORIDE LTD.,ALUFLUOR,,Chemicals,https://halalstock.in/is-alufluoride-ltd-halal-and-shariah-compliant/,ALUFLUOR.BO,428.7,17.952263,3352641280,ok
AMAL LTD.,AMAL,,Dyes And Pigments,https://halalstock.in/is-amal-ltd-halal-and-shariah-compliant/,AMAL.BO,679.4,21.643837,8399193600,ok
AMBA ENTERPRISES LTD,AEL,,Electric Equipment,https://halalstock.in/is-amba-enterprises-ltd-halal-and-shariah-compliant/,AEL.BO,173.9,29.22689,2201657344,ok
AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-ambalal-sarabhai-enterprises-ltd-halal-and-shariah-compliant/,AMBALALSA.BO,28.4,22.72,2176385536,ok
AMBAR PROTEIN INDUSTRIES LTD,AMBARPIL,,Solvent Extraction,https://halalstock.in/is-ambar-protein-industries-ltd-halal-and-shariah-compliant/,AMBARPIL.BO,282.7,,1625525120,ok
AMBER ENTERPRISES INDIA LTD,AMBER,AMBER,Electronics - Components,https://halalstock.in/is-amber-enterprises-india-ltd-halal-and-shariah-compliant/,AMBER.NS,7181.0,111.1094,252570419200,ok
AMBIKA COTTON MILLS LTD.,AMBIKCO,AMBIKCO,Textiles - Cotton/Blended,https://halalstock.in/is-ambika-cotton-mills-ltd-halal-and-shariah-compliant/,AMBIKCO.NS,1274.8,11.764489,7298230272,ok
Ambo Agritec Ltd,AMBOAGRI,,Edible Oil,https://halalstock.in/is-ambo-agritec-ltd-halal-and-shariah-compliant/,AMBOAGRI.BO,47.66,42.936935,945820352,ok
Ameenji Rubber Ltd.,AMEENJI,,Rubber,https://halalstock.in/is-ameenji-rubber-ltd-halal-and-shariah-compliant/,AMEENJI.BO,149.1,20.911642,1681848064,ok
Amerise Biosciences Ltd,AMERISE,,Plastic Products - Industrial,https://halalstock.in/is-amerise-biosciences-ltd-halal-and-shariah-compliant/,AMERISE.BO,0.62,Infinity,40962780,ok
Amic Forging Ltd,AMIC,,Castings &amp; Forgings,https://halalstock.in/is-amic-forging-ltd-halal-and-shariah-compliant/,AMIC.BO,1576.65,97.084366,16536551424,ok
AMINES &amp; PLASTICIZERS LTD.,AMNPLST,AMNPLST,Chemicals,https://halalstock.in/is-amines-plasticizers-ltd-halal-and-shariah-compliant/,AMNPLST.NS,196.68,29.936071,10821332992,ok
AMJ LAND HOLDINGS LTD,AMJLAND,AMJLAND,Construction,https://halalstock.in/is-amj-land-holdings-ltd-halal-and-shariah-compliant/,AMJLAND.NS,53.29,10.428572,2184890112,ok
Amkay Products Ltd,AMKAY,,Medical Equipment &amp; Supplies,https://halalstock.in/is-amkay-products-ltd-halal-and-shariah-compliant/,AMKAY.BO,46.0,11.358025,398159424,ok
AMRAWORLD AGRICO LTD.,AMRAAGRI,,Textiles,https://halalstock.in/is-amraworld-agrico-ltd-halal-and-shariah-compliant/,AMRAAGRI.BO,0.66,,79398000,ok
AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-amrutanjan-health-care-ltd-halal-and-shariah-compliant/,AMRUTANJAN.NS,680.95,34.72463,19682269184,ok
Amwill Health Care Ltd,AMWILL,,Pharmaceuticals,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,AMWILL.BO,42.05,10.408416,841151360,ok
ANAND RAYONS LTD,ARL,,Trading,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,ARL.BO,409.55,195.95694,8722998272,ok
ANANT RAJ LIMITED,ANANTRAJ,ANANTRAJ,Construction,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,ANANTRAJ.NS,576.45,40.17073,207451062272,ok
ANDHRA PAPER LTD,ANDHRAPAP,ANDHRAPAP,Paper,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,ANDHRAPAP.NS,68.61,66.61166,13643111424,ok
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,,Chemicals,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,ANDHRAPET.BO,50.13,,4259626496,ok
ANDHRA SUGARS LTD.,ANDHRSUGAR,ANDHRSUGAR,Diversified - Medium / Small,https://halalstock.in/is-amwill-health-care-ltd-halal-and-shariah-compliant/,ANDHRSUGAR.NS,77.06,16.679653,10455311360,ok
ANDREW YULE &amp; COMPANY LTD.,ANDREWYU,,Diversified - Medium / Small,https://halalstock.in/is-andrew-yule-company-ltd-halal-and-shariah-compliant/,ANDREWYU.NS,31.7,,15499747328,ok
ANIK INDUSTRIES LTD.,ANIKINDS,ANIKINDS,Trading,https://halalstock.in/is-anik-industries-ltd-halal-and-shariah-compliant/,ANIKINDS.NS,64.34,112.87719,1788251648,ok
Anirit Ventures Ltd,ANIRIT,,Other Textile Products,https://halalstock.in/is-anirit-ventures-ltd-halal-and-shariah-compliant/,ANIRIT.BO,84.0,,504000000,ok
ANJANI FOODS LTD,ANJANIFOODS,,Food - Processing - Indian,https://halalstock.in/is-anjani-foods-ltd-halal-and-shariah-compliant/,ANJANIFOODS.BO,24.0,96.0,670773632,ok
ANKA INDIA LTD.,ANKIN,,Plastics Products,https://halalstock.in/is-anka-india-ltd-halal-and-shariah-compliant/,ANKIN.BO,47.64,264.66666,2455484160,ok
Anlon Healthcare Ltd,AHCL,AHCL,Pharmaceuticals,https://halalstock.in/is-anlon-healthcare-ltd-halal-and-shariah-compliant/,AHCL.NS,168.61,33.125736,8961874944,ok
Anthem Biosciences Limited,ANTHEM,ANTHEM,Biotechnology,https://halalstock.in/is-anthem-biosciences-limited-halal-and-shariah-compliant/,ANTHEM.NS,634.7,68.989136,356453908480,ok
ANUH PHARMA LTD.,ANUHPHR,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-anuh-pharma-ltd-halal-and-shariah-compliant/,ANUHPHR.NS,77.02,19.901808,7751620096,ok
ANUPAM RASAYAN INDIA LTD,ANURAS,ANURAS,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-anupam-rasayan-india-ltd-halal-and-shariah-compliant/,ANURAS.NS,1221.7,89.30555,139180130304,ok
APAR INDUSTRIES LTD.,APARINDS,APARINDS,Electric Equipment,https://halalstock.in/is-apar-industries-ltd-halal-and-shariah-compliant/,APARINDS.NS,9159.5,39.215225,368478978048,ok
APCOTEX INDUSTRIES LTD.,APCOTEXIND,APCOTEXIND,Miscellaneous,https://halalstock.in/is-apcotex-industries-ltd-halal-and-shariah-compliant/,APCOTEXIND.NS,413.45,29.490015,21435299840,ok
APEX FROZEN FOODS LTD,APEX,APEX,Aquaculture,https://halalstock.in/is-apex-frozen-foods-ltd-halal-and-shariah-compliant/,APEX.NS,297.27,40.83379,9314082816,ok
APL APOLLO TUBES LTD.,APLAPOLLO,APLAPOLLO,Steel - Large,https://halalstock.in/is-apl-apollo-tubes-ltd-halal-and-shariah-compliant/,APLAPOLLO.NS,1718.9,45.449497,477398368256,ok
APLAB LTD.,APLAB,,Electronics - Components,https://halalstock.in/is-aplab-ltd-halal-and-shariah-compliant/,APLAB.NS,32.5,,,ok
APM INDUSTRIES LTD.,APMIN,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-apm-industries-ltd-halal-and-shariah-compliant/,APMIN.BO,39.92,110.88888,862725440,ok
APOLLO HOSPITALS ENTERPRISE LTD.,APOLLOHOSP,APOLLOHOSP,Healthcare,https://halalstock.in/is-apollo-hospitals-enterprise-ltd-halal-and-shariah-compliant/,APOLLOHOSP.NS,7335.5,62.89548,1054732320768,ok
APOLLO MICRO SYSTEMS LTD,APOLLO,APOLLO,Computers - Software - Medium / Small,https://halalstock.in/is-apollo-micro-systems-ltd-halal-and-shariah-compliant/,APOLLO.NS,263.2,107.42857,93275766784,ok
APOLLO TYRES LTD.,APOLLOTYRE,APOLLOTYRE,Tyres,https://halalstock.in/is-apollo-tyres-ltd-halal-and-shariah-compliant/,APOLLOTYRE.NS,514.0,41.152924,325766742016,ok
APTECH LTD.,APTECHT,APTECHT,Computers - Education,https://halalstock.in/is-aptech-ltd-halal-and-shariah-compliant/,APTECHT.NS,104.47,27.933155,6081724928,ok
Aptus Pharma,APPL,,Pharmaceuticals,https://halalstock.in/is-aptus-pharma-halal-and-shariah-compliant/,APPL.BO,162.75,31.540699,1116465024,ok
Archean Chemical Industries Ltd,ACI,ACI,Specialty Chemicals,https://halalstock.in/is-archean-chemical-industries-ltd-halal-and-shariah-compliant/,ACI.NS,512.1,37.0282,63328821248,ok
ARCHIT ORGANOSYS LTD.,ARCHITORG,,Chemicals,https://halalstock.in/is-archit-organosys-ltd-halal-and-shariah-compliant/,ARCHITORG.BO,41.64,12.971962,854482944,ok
ARCL Organics Ltd,ARCL,,Commodity Chemicals,https://halalstock.in/is-arcl-organics-ltd-halal-and-shariah-compliant/,ARCL.BO,377.35,16.392267,3018800128,ok
ARFIN INDIA LTD,ARFIN,,Aluminium and Aluminium Products,https://halalstock.in/is-arfin-india-ltd-halal-and-shariah-compliant/,ARFIN.NS,57.77,137.54762,9831801856,ok
ARIES AGRO LTD.,ARIES,ARIES,Fertilizers,https://halalstock.in/is-aries-agro-ltd-halal-and-shariah-compliant/,ARIES.NS,339.7,11.653517,4431254528,ok
Arkade Developers Limited,ARKADE,ARKADE,Residential Commercial Projects,https://halalstock.in/is-arkade-developers-limited-halal-and-shariah-compliant/,ARKADE.NS,164.43,19.390331,30528667648,ok
Arman Holdings Ltd.,ARMAN,,Trading,https://halalstock.in/is-arman-holdings-ltd-halal-and-shariah-compliant/,ARMAN.BO,86.76,542.25,452062976,ok
ARROW GREENTECH LTD,ARROWGREEN,ARROWGREEN,Plastics Products,https://halalstock.in/is-arrow-greentech-ltd-halal-and-shariah-compliant/,ARROWGREEN.NS,557.6,16.531277,8413033984,ok
ARTEMIS MEDICARE SERVICES LTD,ARTEMISMED,ARTEMISMED,Healthcare,https://halalstock.in/is-artemis-medicare-services-ltd-halal-and-shariah-compliant/,ARTEMISMED.NS,285.46,124.65502,,ok
